Date,January,February,March,April,May,June,July,August,September,October,November,December,Year
22,358440.0,432075.0,431736.0,195817.0,436123.0,478345.0,222685.0,479755.0,346604.0,486183.0,475577.0,365997.0,2007
23,439600.0,453111.0,436306.0,438609.0,451718.0,287337.0,442137.0,462789.0,222877.0,439952.0,494197.0,211865.0,2007
24,449650.0,319795.0,323801.0,441115.0,432892.0,211919.0,452264.0,485937.0,461635.0,453436.0,342468.0,221118.0,2007
25,430301.0,210548.0,204440.0,449212.0,445751.0,443233.0,460759.0,349453.0,483120.0,444005.0,237212.0,214061.0,2007
26,465514.0,449611.0,447819.0,421373.0,321561.0,452544.0,445281.0,218445.0,480919.0,488475.0,463317.0,360925.0,2007
27,329624.0,438783.0,426395.0,463272.0,217383.0,457532.0,452554.0,233402.0,476866.0,340217.0,463506.0,432010.0,2007
28,212412.0,452579.0,459161.0,315095.0,435716.0,437312.0,336578.0,466813.0,501109.0,211430.0,506761.0,443515.0,2007
29,445072.0,0.0,414267.0,196964.0,435161.0,475832.0,219293.0,463267.0,345354.0,209609.0,514090.0,327034.0,2007
30,442416.0,0.0,468723.0,440230.0,449164.0,347570.0,443388.0,455442.0,239882.0,446385.0,310732.0,211702.0,2007
31,459531.0,0.0,319697.0,0.0,445576.0,0.0,489680.0,489554.0,0.0,470997.0,0.0,184268.0,2007
1,110192.0,496150.0,358578.0,473962.0,274414.0,252782.0,485100.0,488953.0,482906.0,261054.0,190397.0,273023.0,2008
2,397889.0,348464.0,231854.0,483520.0,486246.0,474364.0,466124.0,360058.0,479518.0,478853.0,213145.0,507355.0,2008
3,435271.0,231437.0,469549.0,454974.0,323486.0,479539.0,442153.0,249625.0,471470.0,507647.0,441818.0,495686.0,2008
4,454534.0,466930.0,491624.0,487748.0,220067.0,473906.0,490396.0,473879.0,471435.0,357326.0,475222.0,471006.0,2008
5,330697.0,476218.0,496438.0,345511.0,471519.0,483120.0,355491.0,478523.0,493645.0,231110.0,487197.0,498044.0,2008
6,218580.0,489912.0,464628.0,211946.0,470167.0,486242.0,259442.0,493475.0,357342.0,518574.0,452948.0,416379.0,2008
7,475154.0,459899.0,498048.0,239869.0,476142.0,344637.0,468890.0,474011.0,240428.0,465237.0,480913.0,245724.0,2008
