Date,Time,City,Location,Latitude,Longitude,Direction,Type,Lanes_Blocked,Involved,Hour,DayOfWeek,Month,Year,YearMonth,Incident_Category
2018-08-24,9:10 AM,Pasig City,ORTIGAS MERALCO,14.588871,121.065865,EB,VEHICULAR ACCIDENT,1.0,SUV AND CAR,9.0,Friday,8,2018,2018-08,Accident
2018-08-24,9:15 AM,Pasig City,C5 BAGONG ILOG F/O,14.588871,121.069619,SB,STALLED SUV DUE TO MECHANICAL PROBLEM,1.0,SUV,9.0,Friday,8,2018,2018-08,Stalled Vehicle
2018-08-24,11:40 PM,Mandaluyong,EDSA ORTIGAS,14.588871,121.056314,NB,ONGOING TEC DISMANTLING ROOF OF LOADING BAY,1.0,,23.0,Friday,8,2018,2018-08,Other
2018-08-24,12:34 PM,Pasay City,EDSA CABRERA,14.537979,121.004863,SB,ONGOING DPWH ROAD PATCHING,1.0,,12.0,Friday,8,2018,2018-08,Other
2018-08-24,12:40 PM,Makati City,EDSA MAIN AVE.,14.537979,121.053801,SB,VEHICULAR ACCIDENT,1.0,SUV AND CAR,12.0,Friday,8,2018,2018-08,Accident
2018-08-24,2:37 PM,Mandaluyong,EDSA BONI,14.574014000000002,121.04841,SB,VEHICULAR ACCIDENT,1.0,CAR AND AUV,14.0,Friday,8,2018,2018-08,Accident
2018-08-24,2:35 PM,Mandaluyong,ORTIGAS CONNECTICUT,14.574014000000002,121.049747,WB,STALLED SUV DUE TO MECHANICAL DEFECT,1.0,SUV,14.0,Friday,8,2018,2018-08,Stalled Vehicle
2018-08-24,2:57 PM,Pasig City,C5 OLD BALARA KATIPUNAN,14.574014000000002,121.06543700000002,NB,VEHICULAR ACCIDENT C5 OLD BALARA KAT,2.0,AUV AND SUV,14.0,Friday,8,2018,2018-08,Accident
2018-08-24,3:08 PM,Makati City,EDSA AYALA TUNNEL,14.550028,121.029058,SB,STALLED AUV DUE TO MECHANICAL DEFECT,1.0,AUV,15.0,Friday,8,2018,2018-08,Stalled Vehicle
2018-08-24,3:33 PM,Makati City,EDSA EAST AVE.,14.550028,121.044814,WB,VEHICULAR ACCIDENT,1.0,AUV AND BUS,15.0,Friday,8,2018,2018-08,Accident
2018-08-24,3:57 PM,Makati City,C5 OLD BALARA KATIPUNAN,14.559503,121.06543700000002,NB,VEHICULAR ACCIDENT C5 OLD BALARA KAT,1.0,PUJ AND MOTORCYCLE,15.0,Friday,8,2018,2018-08,Accident
2018-08-24,4:08 PM,Pasig City,COMMONWEALTH ZUZUARREGUI,14.559503,121.07808,WB,VEHICULAR ACCIDENT,2.0,TAXI AND DUMP TRUCK,16.0,Friday,8,2018,2018-08,Accident
2018-08-24,4:08 PM,Quezon City,QUEZON AVE. ROCES,14.633432,121.020029,EB,VEHICULAR ACCIDENT,2.0,CAR AND TRUCK EXPRESS,16.0,Friday,8,2018,2018-08,Accident
2018-08-24,6:12 PM,Makati City,EDSA GUADALUPE,14.566348,121.045356,NB,STALLED AUV DUE TO MECHANICAL DEFECT,1.0,AUV,18.0,Friday,8,2018,2018-08,Stalled Vehicle
2018-08-24,6:17 PM,Makati City,EDSA SHAW INT.,14.566348,121.053565,NB,VEHICULAR ACCIDENT,1.0,MOTORCYCLE AND SUV,18.0,Friday,8,2018,2018-08,Accident
2018-08-24,6:23 PM,Pasig City,C5 BAGONG ILOG FO,14.566348,121.069619,SB,VEHICULAR ACCIDENT,1.0,MOTORCYCLE AND ALUMINUM VAN,18.0,Friday,8,2018,2018-08,Accident
2018-08-24,6:29 PM,Quezon City,EDSA FARMERS,14.619717,121.050978,NB,VEHICULAR ACCIDENT,1.0,BUS AND CAR,18.0,Friday,8,2018,2018-08,Accident
2018-08-24,6:46 PM,Mandaluyong,EDSA PIONEER,14.572454,121.047299,NB,VEHICULAR ACCIDENT,2.0,AUV AND SUV,18.0,Friday,8,2018,2018-08,Accident
2018-08-24,6:52 PM,Mandaluyong,EDSA BONI,14.572454,121.04841,SB,VEHICULAR ACCIDENT,1.0,SUV AND AUV,18.0,Friday,8,2018,2018-08,Accident
2018-08-24,7:06 PM,Mandaluyong,EDSA HIGHWAY 54 MALL,14.584119,121.055076,SB,VEHICULAR ACCIDENT,2.0,VAN AND CAR,19.0,Friday,8,2018,2018-08,Accident
2018-08-25,6:33 PM,Mandaluyong,EDSA ORTIGAS,14.586681,121.056314,SB,VEHICULAR ACCIDENT,1.0,CAR AND SUV,18.0,Saturday,8,2018,2018-08,Accident
2018-08-25,6:38 PM,Quezon City,COMMONWEALTH PHILCOA,14.653542000000002,121.052687,EB,VEHICULAR ACCIDENT,1.0,2 MOTORCYCLES,18.0,Saturday,8,2018,2018-08,Accident
2018-08-25,7:13 PM,Quezon City,EDSA MUÑOZ,14.657668,121.017212,SB,VEHICULAR ACCIDENT,1.0,TRUCK AND TAXI,19.0,Saturday,8,2018,2018-08,Accident
2018-08-25,7:13 PM,Quezon City,EDSA MUÑOZ,14.657668,121.017212,SB,VEHICULAR ACCIDENT,1.0,TRUCK AND TAXI,19.0,Saturday,8,2018,2018-08,Accident
2018-08-25,9:11 PM,Quezon City,EDSA BALINTAWAK,14.657414,121.003896,NB,VEHICULAR ACCIDENT,2.0,CAR AND BUS,21.0,Saturday,8,2018,2018-08,Accident
